brand,name,common_name,variant,attributes,attributes_unpublished,category_hint,weight_mg,weight_source,source_url,kcal
Durston,X-Dome 1+,Tent,"Solid inner, carbon poles",persons=1,,shelter,1035000,manufacturer,https://durstongear.com/products/x-dome-1-plus-ultralight-backpacking-tent,
Durston,X-Dome 1+,Tent,"Solid inner, carbon short poles",persons=1,,shelter,1080000,manufacturer,https://durstongear.com/products/x-dome-1-plus-ultralight-backpacking-tent,
Durston,X-Dome 1+ Groundsheet,Groundsheet,,,,shelter,104893,manufacturer,https://durstongear.com/products/x-dome-1-groundsheet,
Durston,X-Dome 2,Tent,"Regular inner, aluminum poles",persons=2,,shelter,1430000,manufacturer,https://durstongear.com/products/x-dome-2-ultralight-tent,
Durston,X-Dome 2,Tent,"Regular inner, carbon poles",persons=2,,shelter,1247379,manufacturer,https://durstongear.com/products/x-dome-2-ultralight-tent,
Durston,X-Dome 2,Tent,"Regular inner, carbon short poles",persons=2,,shelter,1290000,manufacturer,https://durstongear.com/products/x-dome-2-ultralight-tent,
Durston,X-Dome 2,Tent,"Solid inner, aluminum poles",persons=2,,shelter,1535000,manufacturer,https://durstongear.com/products/x-dome-2-ultralight-tent,
Durston,X-Dome 2,Tent,"Solid inner, carbon poles",persons=2,,shelter,1360000,manufacturer,https://durstongear.com/products/x-dome-2-ultralight-tent,
Durston,X-Dome 2,Tent,"Solid inner, carbon short poles",persons=2,,shelter,1395000,manufacturer,https://durstongear.com/products/x-dome-2-ultralight-tent,
Durston,X-Dome 2 Groundsheet,Groundsheet,,,,shelter,144583,manufacturer,https://durstongear.com/products/x-dome-2-groundsheet,
Durston,X-Mid 1,Tent,,persons=1,,shelter,742758,manufacturer,https://durstongear.com/products/x-mid-1-tent-ultralight-backpacking,
Durston,X-Mid 1 Groundsheet,Groundsheet,,,,shelter,104893,manufacturer,https://durstongear.com/products/x-mid-1-groundsheet,
Durston,X-Mid 1 Solid,Tent,,persons=1,,shelter,890175,manufacturer,https://durstongear.com/products/x-mid-1-solid,
Durston,X-Mid 2,Tent,,persons=2,,shelter,887340,manufacturer,https://durstongear.com/products/x-mid-2-tent-ultralight-backpacking,
Durston,X-Mid 2 Groundsheet,Groundsheet,,,,shelter,144583,manufacturer,https://durstongear.com/products/x-mid-2-groundsheet,
Durston,X-Mid 2 Solid,Tent,,persons=2,,shelter,1063107,manufacturer,https://durstongear.com/products/x-mid-2-solid,
Durston,X-Mid Pro 1,Tent,DCF,persons=1,,shelter,439418,manufacturer,https://durstongear.com/products/x-mid-pro-1-tent-ultralight-thruhiking,
Durston,X-Mid Pro 1,Tent,Silnylon,persons=1,,shelter,484777,manufacturer,https://durstongear.com/products/x-mid-pro-1-tent-ultralight-thruhiking,
Durston,X-Mid Pro 1 Groundsheet,Groundsheet,,,,shelter,93553,manufacturer,https://durstongear.com/products/x-mid-pro-1-groundsheet,
Durston,X-Mid Pro 2,Tent,DCF,persons=2,,shelter,507456,manufacturer,https://durstongear.com/products/x-mid-pro-2-tent-ultralight-thruhiking,
Durston,X-Mid Pro 2,Tent,Silnylon,persons=2,,shelter,564156,manufacturer,https://durstongear.com/products/x-mid-pro-2-tent-ultralight-thruhiking,
Durston,X-Mid Pro 2 Groundsheet,Groundsheet,,,,shelter,136078,manufacturer,https://durstongear.com/products/x-mid-pro-2-groundsheet,
Durston,X-Mid Pro 2+,Tent,DCF,persons=2,,shelter,544311,manufacturer,https://durstongear.com/products/x-mid-pro-plus-tent-ultralight-thruhiking,
Durston,X-Mid Pro 2+,Tent,Silnylon,persons=2,,shelter,609515,manufacturer,https://durstongear.com/products/x-mid-pro-plus-tent-ultralight-thruhiking,
Durston,X-Mid Pro 2+ Groundsheet,Groundsheet,,,,shelter,144583,manufacturer,https://durstongear.com/products/x-mid-pro-2-plus-groundsheet,
ENO,DoubleNest Hammock,Hammock,,,,shelter,538641,manufacturer,https://coontail.com/products/eno-doublenest-hammock,
ENO,SingleNest Hammock,Hammock,,,,shelter,453592,manufacturer,https://www.campingworld.com/eno-singlenest-hammock-218830_OGRY.html,
ENO,Sub6 Ultralight Hammock,Hammock,,,,shelter,164427,manufacturer,https://eaglesnestoutfittersinc.com/products/sub6-ultralight-hammock,
Etowah Outfitters,Dyneema Tarp,Tarp,5ft x 8.5ft,,,shelter,96000,manufacturer,https://www.garagegrowngear.com/products/dyneema-tarp-by-etowah-outfitters,
Etowah Outfitters,Dyneema Tarp,Tarp,7ft x 9ft,,,shelter,150000,manufacturer,https://www.garagegrowngear.com/products/dyneema-tarp-by-etowah-outfitters,
Etowah Outfitters,Dyneema Tarp,Tarp,8.5ft x 10ft,,,shelter,181000,manufacturer,https://www.garagegrowngear.com/products/dyneema-tarp-by-etowah-outfitters,
Etowah Outfitters,Silnylon Tarp,Tarp,5ft x 8ft,,,shelter,227000,manufacturer,https://www.garagegrowngear.com/products/silnylon-tarp-by-etowah-outfitters,
Etowah Outfitters,Silnylon Tarp,Tarp,6ft x 10ft,,,shelter,340000,manufacturer,https://www.garagegrowngear.com/products/silnylon-tarp-by-etowah-outfitters,
Etowah Outfitters,Silnylon Tarp,Tarp,8ft x 10ft,,,shelter,397000,manufacturer,https://www.garagegrowngear.com/products/silnylon-tarp-by-etowah-outfitters,
Etowah Outfitters,Ultra TNT Tarp,Tarp,5ft x 8ft,,,shelter,142000,manufacturer,https://www.garagegrowngear.com/products/ultra-tnt-tarp-by-etowah-outfitters,
Etowah Outfitters,Ultra TNT Tarp,Tarp,7ft x 9ft,,,shelter,255000,manufacturer,https://www.garagegrowngear.com/products/ultra-tnt-tarp-by-etowah-outfitters,
Etowah Outfitters,Ultra TNT Tarp,Tarp,8ft x 10ft,,,shelter,283000,manufacturer,https://www.garagegrowngear.com/products/ultra-tnt-tarp-by-etowah-outfitters,
Gossamer Gear,DCF Whisper Shelter,Tarp,,,,shelter,278000,manufacturer,https://www.garagegrowngear.com/products/the-whisper-shelter-by-gossamer-gear,
Gossamer Gear,Polycro Tent Ground Cloth,Groundsheet,,,,shelter,168000,manufacturer,https://www.garagegrowngear.com/products/polycro-tent-footprint-by-gossamer-gear,
Gossamer Gear,Solo Tarp,Tarp,,,,shelter,202000,manufacturer,https://www.garagegrowngear.com/products/solo-tarp-by-gossamer-gear,
Gossamer Gear,The Free,Tent,1P,persons=1,,shelter,936101,manufacturer,https://www.gossamergear.com/products/the-free,
Gossamer Gear,The One,Tent,,persons=1,,shelter,557919,manufacturer,https://www.gossamergear.com/products/the-one,
Gossamer Gear,The Two,Tent,,persons=2,,shelter,798039,manufacturer,https://www.gossamergear.com/products/the-two,
Gossamer Gear,Twinn Tarp,Tarp,,,,shelter,332000,manufacturer,https://www.garagegrowngear.com/products/twinn-tarp-by-gossamer-gear,
Hammock Gear,Journey Tarp,Tarp,,,,shelter,464000,manufacturer,https://www.garagegrowngear.com/products/journey-tarp-by-hammock-gear,
Hammock Gear,Quest Tarp,Tarp,,,,shelter,351000,manufacturer,https://www.garagegrowngear.com/products/the-quest-by-hammock-gear,
Hammock Gear,Standard Hammock,Hammock,,,,shelter,383000,manufacturer,https://www.garagegrowngear.com/products/standard-hammock-by-hammock-gear,
High Tail Designs,Printed Tyvek Ground Cloth,Groundsheet,,,,shelter,137000,manufacturer,https://www.garagegrowngear.com/products/tyvek-ground-cloth-by-high-tail-designs,
Hyperlite Mountain Gear,CrossPeak 1,Tent,,persons=1,,shelter,813631,manufacturer,https://www.hyperlitemountaingear.com/products/crosspeak-1,
Hyperlite Mountain Gear,CrossPeak 2,Tent,,persons=2,,shelter,964000,manufacturer,https://www.garagegrowngear.com/products/crosspeak-2-by-hyperlite-mountain-gear,
Hyperlite Mountain Gear,Flat Tarp,Tarp,8ft 6in x 8ft 6in,,,shelter,255000,manufacturer,https://www.garagegrowngear.com/products/flat-tarp-by-hyperlite-mountain-gear,
Hyperlite Mountain Gear,Flat Tarp,Tarp,8ft x 10ft,,,shelter,309000,manufacturer,https://www.garagegrowngear.com/products/flat-tarp-by-hyperlite-mountain-gear,
Hyperlite Mountain Gear,Mid 1,Tent,,persons=1,,shelter,453592,manufacturer,https://hyperlitemountaingear.com/products/mid-1-tent,
Hyperlite Mountain Gear,UltaMid 2,Tent,canopy only,persons=2,,shelter,541476,manufacturer,https://hyperlitemountaingear.com/products/ultamid-2-ultralight-pyramid-tent,
Hyperlite Mountain Gear,UltaMid 4,Tent,canopy only,persons=4,,shelter,635029,manufacturer,https://hyperlitemountaingear.com/products/ultamid-4-ultralight-pyramid-tent,
Hyperlite Mountain Gear,UltaMid Insert with DCF11 Floor,Inner tent,UltaMid 2,,,shelter,623690,manufacturer,https://www.garagegrowngear.com/products/ultamid-insert-with-cuben-floor-by-hyperlite-mountain-gear,
Hyperlite Mountain Gear,UltaMid Insert with DCF11 Floor,Inner tent,UltaMid 4,,,shelter,799000,manufacturer,https://www.garagegrowngear.com/products/ultamid-insert-with-cuben-floor-by-hyperlite-mountain-gear,
Hyperlite Mountain Gear,UltaMid Mesh Insert,Inner tent,"UltaMid 2, no floor",,,shelter,383000,manufacturer,https://www.garagegrowngear.com/products/ultamid-insert-with-mesh-skirt-by-hyperlite-mountain-gear,
Hyperlite Mountain Gear,UltaMid Mesh Insert,Inner tent,"UltaMid 4, no floor",,,shelter,465000,manufacturer,https://www.garagegrowngear.com/products/ultamid-insert-with-mesh-skirt-by-hyperlite-mountain-gear,
Hyperlite Mountain Gear,UltaMid Pyramid Tent,Tent,2 Person,persons=2,,shelter,541000,manufacturer,https://www.garagegrowngear.com/products/ultamid-shelter-by-hyperlite-mountain-gear,
Hyperlite Mountain Gear,UltaMid Pyramid Tent,Tent,4 Person,persons=4,,shelter,635000,manufacturer,https://www.garagegrowngear.com/products/ultamid-shelter-by-hyperlite-mountain-gear,
Hyperlite Mountain Gear,Unbound 2P,Tent,,persons=2,,shelter,624000,manufacturer,https://www.garagegrowngear.com/products/unbound-2p-by-hyperlite-mountain-gear,
Katabatic Gear,Bristlecone Bivy,Bivy,5ft 6in,length=5ft 6in,,shelter,198000,manufacturer,https://www.garagegrowngear.com/products/bristlecone-bivy-by-katabatic-gear,
Katabatic Gear,Bristlecone Bivy,Bivy,6ft,length=6ft,,shelter,207000,manufacturer,https://www.garagegrowngear.com/products/bristlecone-bivy-by-katabatic-gear,
Katabatic Gear,Bristlecone Bivy,Bivy,6ft 6in,length=6ft 6in,,shelter,218000,manufacturer,https://www.garagegrowngear.com/products/bristlecone-bivy-by-katabatic-gear,
Katabatic Gear,Bristlecone Bivy,Bivy,6ft 6in Wide,length=6ft 6in; width=Wide,,shelter,232000,manufacturer,https://www.garagegrowngear.com/products/bristlecone-bivy-by-katabatic-gear,
Katabatic Gear,Bristlecone Bivy,Bivy,6ft Wide,length=6ft; width=Wide,,shelter,221000,manufacturer,https://www.garagegrowngear.com/products/bristlecone-bivy-by-katabatic-gear,
Katabatic Gear,Piñon Bivy,Bivy,5ft 6in,length=5ft 6in,,shelter,198000,manufacturer,https://www.garagegrowngear.com/products/pinon-bivy-by-katabatic-gear,
Katabatic Gear,Piñon Bivy,Bivy,6ft,length=6ft,,shelter,207000,manufacturer,https://www.garagegrowngear.com/products/pinon-bivy-by-katabatic-gear,
Katabatic Gear,Piñon Bivy,Bivy,6ft 6in,length=6ft 6in,,shelter,218000,manufacturer,https://www.garagegrowngear.com/products/pinon-bivy-by-katabatic-gear,
Katabatic Gear,Piñon Bivy,Bivy,6ft 6in Wide,length=6ft 6in; width=Wide,,shelter,232000,manufacturer,https://www.garagegrowngear.com/products/pinon-bivy-by-katabatic-gear,
Katabatic Gear,Piñon Bivy,Bivy,6ft Wide,length=6ft; width=Wide,,shelter,221000,manufacturer,https://www.garagegrowngear.com/products/pinon-bivy-by-katabatic-gear,
Kelty,Late Start 2,Tent,2P,persons=2,,shelter,2154563,manufacturer,https://www.kelty.com/late-start-2p/,
LightHeart Gear,Duo Silnylon Tent,Tent,,persons=2,,shelter,1091000,manufacturer,https://www.garagegrowngear.com/products/duo-sil-nylon-tent-by-lightheart-gear,
LightHeart Gear,FireFly 1P Silnylon Tent,Tent,,persons=1,,shelter,895000,manufacturer,https://www.garagegrowngear.com/products/firefly-sil-nylon-tent-by-lightheart-gear,
LightHeart Gear,SoLong 6 1P Tent,Tent,,persons=1,,shelter,964000,manufacturer,https://www.garagegrowngear.com/products/solong-6-1p-tent-by-lightheart-gear,
Liteway,PyraOmm Duo Tarp DCF,Tarp,,,,shelter,260000,manufacturer,https://liteway.equipment/pyraomm-duo-tarp-dcf,
